NAME,AMI,GEN,TOB,KAN,MET,PEN,VAN,TEC,CLI,ERY,MUP,LNZ,TCY,TMP,DAP,RIF,CIP,MFX
USFL248,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0
USFL174,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
USFL202,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL103,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
FL380,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
USFL022,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0
FL387,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
FL390,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL076,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL074,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0
USFL334,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL305,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL220,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
USFL137,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL267,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL158,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL029,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL075,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL301,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
FL369,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL251,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0
USFL086,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0
USFL306,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL351,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
USFL336,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
FL358,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL273,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
FL377,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL266,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
USFL209,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL337,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL015,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL350,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
USFL114,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
USFL063,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
USFL127,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL188,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL295,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL242,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL120,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
FL372,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL065,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL007,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL261,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL166,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL279,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0
USFL270,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL131,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
USFL008,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL237,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL297,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
FL364,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL265,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL100,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
USFL309,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL123,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL203,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL146,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0
USFL184,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
USFL160,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL049,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL031,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL215,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL002,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
USFL243,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0
USFL150,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0
USFL218,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
USFL122,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
USFL078,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
USFL053,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL052,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0
USFL333,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL139,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL016,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL085,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0
FL367,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
USFL335,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
USFL240,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL024,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL232,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL182,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
USFL221,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL061,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
FL376,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
FL392,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL177,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL302,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL087,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0
USFL274,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
FL368,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL226,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
USFL006,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL276,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL253,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL104,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0
FL366,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
USFL259,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL277,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL148,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
FL378,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL303,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL066,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
FL374,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL026,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL142,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
